Lp;Time;Alligator;Sila bykow;Sila niedzwiedzi;CCI;Demarker;RSI;Oscylator Stochastyczny;Williams;Klasa
1;2012.8.1.15;0.0025;-0.00025;0.00125;57.5;0.525;57;51;-47;WAIT
2;2012.8.1.16;0.0025;-0.00125;0.00225;7.5;0.505;49;47;-69;WAIT
3;2012.8.1.17;0.0015;-0.00125;0.00025;-67.5;0.545;49;43;-75;WAIT
4;2012.8.1.18;0.0015;-0.00125;0.00025;-77.5;0.515;49;33;-71;SELL
5;2012.8.1.19;0.0015;-0.00075;0.00075;-57.5;0.535;49;29;-75;SELL
6;2012.8.1.20;0.0015;-0.00725;0.00075;-357.5;0.325;25;19;-87;SELL
7;2012.8.1.21;0.0015;-0.00625;-0.00375;-282.5;0.225;23;11;-97;WAIT
8;2012.8.1.22;0;-0.00525;-0.00475;-182.5;0.225;25;9;-93;WAIT
9;2012.8.1.23;0;-0.00425;-0.00375;-127.5;0.145;27;9;-89;WAIT
10;2012.8.2.0;0.0025;-0.00375;-0.00275;-92.5;0.205;31;15;-83;WAIT
11;2012.8.2.1;0.0035;-0.00275;-0.00175;-67.5;0.245;33;25;-81;WAIT
12;2012.8.2.2;0.0045;-0.00375;-0.00175;-72.5;0.215;31;39;-87;WAIT
13;2012.8.2.3;0.0065;-0.00225;-0.00125;-57.5;0.225;33;63;-85;WAIT
14;2012.8.2.4;0.0065;-0.00175;-0.00025;-37.5;0.295;39;67;-75;WAIT
15;2012.8.2.5;0.0065;-0.00075;0.00025;-17.5;0.275;41;79;-73;WAIT
16;2012.8.2.6;0.0065;-0.00075;0.00075;-2.5;0.295;43;87;-65;WAIT
17;2012.8.2.7;0.0065;-0.00075;0.00025;12.5;0.295;43;85;-63;WAIT
18;2012.8.2.8;0.0055;-0.00125;0.00075;17.5;0.285;41;77;-67;WAIT
19;2012.8.2.9;0.0055;-0.00125;0.00125;112.5;0.295;51;79;-45;BUY
20;2012.8.2.10;0.0045;0.00025;0.00275;177.5;0.695;55;79;-15;WAIT
